,brands,product_name,main_category,energy_100g,fat_100g,proteins_100g,salt_100g,carbohydrates_100g,sugars_100g,sodium_100g,saturated-fat_100g
0,Candy Crush,Sour Fruit Gummies,en:sugary-snacks,1360.0,0.0,5.0,0.127,75.0,57.5,0.05,0.0
1,Candy Crush,Jelly Fish,en:sugary-snacks,586.0,0.0,0.0,0.0762,34.0,24.0,0.03,0.0
2,Del Monte,Ananas Scheiben gezuckert,en:plant-based-foods-and-beverages,322.0,0.0,0.0,0.02286,19.66,17.95,0.009,0.0
4,The Invisible Chef,Pancake & Waffle Mix Lemon Blueberry,en:pancake-mix,852.0,1.0,6.0,1.33,42.0,8.0,0.523622047244094,0.0
8,The Invisible Chef,Pancake & Waffle Mix Buttermilk,en:pancake-mix,962.0,0.0,7.0,1.57,49.0,13.0,0.618110236220472,0.0
11,vitasia,Thai Noodles sweet & sour sauce,en:plant-based-foods-and-beverages,617.0,2.6,3.9,0.75,26.3,7.0,0.295275590551181,0.6
12,Sun Snacks (Aldi Süd),Salzstangen,en:salty-snacks,1583.0,4.2,11.0,6.7,71.0,2.3,2.63779527559055,1.6
14,Bergader,Edelpilz,en:dairies,1376.0,28.0,19.5,3.5,0.5,0.3,1.37795275590551,19.3
15,Ikea,Rye crispbread,en:plant-based-foods-and-beverages,1463.0,2.6,9.0,1.2,64.0,1.3,0.47244094488189,0.6
16,"Freihofer Gourmet,Aldi Einkauf GmbH & Co. oHG",Edelbitterschokolade Sao Thomé 75% Kakao,en:sugary-snacks,2314.0,42.5,9.0,0.0254,27.6,21.9,0.01,26.6
22,"Moser-Roth,Aldi GmbH & Co. KG,Aldi Einkauf GmbH & Co. oHG",Edel-Zartbitterschokolade Minze 52 % Kakao,en:sugary-snacks,2284.0,34.5,4.5,0.01,51.5,48.3,0.00393700787401575,20.9
24,"Moser-Roth,Aldi GmbH & Co. KG,Aldi Einkauf GmbH & Co. oHG",Edel-Zartbitterschokolade Chili 52 % Kakao,en:sugary-snacks,2275.0,34.4,4.5,0.01,51.4,48.2,0.00393700787401575,20.9
25,"Scholetta,Aldi Einkauf GmbH & Co. oHG",Zarbitter Schokolade mit gerösteten Mandelstückchen und Orangenstückchen,en:sugary-snacks,2307.0,37.0,7.1,0.01,44.1,39.9,0.00393700787401575,19.3
30,Milbona,Schlagsahne,en:dairies,1207.0,30.0,2.5,0.08,3.2,3.2,0.031496062992126,20.0
31,Combino,Sauce tomate bolognaise,en:groceries,352.0,4.3,3.9,1.4,6.8,5.1,0.551181102362205,1.8
32,"Freshona, Fresh & Easy",Cornichons,en:pickles,148.0,0.3,1.2,1.23,5.5,5.4,0.484251968503937,0.1
33,Nürnberger-Wein-Kellerei,Christkindl Glühwein,en:gluhwein,365.5,0.1,0.1,0.1,8.6,8.6,0.0393700787401575,0.1
34,"Fin Carré,Lidl Stiftung & Co. KG,Schwarz Beteiligungs GmbH,Solent GmbH",Dark chocolate 50% cocoa,en:sugary-snacks,2180.0,31.8,5.4,0.01,49.6,47.1,0.00393700787401575,19.1
35,"Saint Alby,Gebirgsjäger",Bockwurst,en:meats,1165.0,25.0,12.0,1.94,2.0,1.0,0.763779527559055,9.9
36,"Envia,Milbona",Crème Entière liquide,en:dairies,1209.0,30.0,2.4,0.08,3.4,3.4,0.031496062992126,21.0
37,Alesto,Mélange de fruits secs,en:plant-based-foods-and-beverages,2583.0,56.5,18.0,0.0,7.5,5.0,0.0,6.5
38,"eridanous,Milbona",Sahnejoghurt griechischer Art,de:produits-laitiers,503.0,10.0,4.6,0.1,3.2,3.2,0.0394,6.6
39,Alesto,Erdnüsse,de:aliments-d-origine-vegetale,2575.0,50.3,25.0,1.0,13.5,5.4,0.393700787401575,9.1
40,"Naturgut,Penny",Frische Bio-Vollmilch,en:milchprodukt,285.0,3.9,3.4,0.13,4.9,4.9,0.0511811023622047,2.6
43,Vitasia China,Chow Mein Noodles,en:plant-based-foods-and-beverages,1546.0,1.0,11.8,0.43,75.6,1.7,0.169291338582677,0.4
45,"Bio Sonne,Soja Food",Bio-Veggie-Burger,en:sandwiches,949.0,8.4,20.8,2.2,14.8,2.3,0.866141732283465,0.9
47,Combino,Original italienische Vollkorn Farfalle,en:plant-based-foods-and-beverages,1452.0,1.9,13.0,0.0,64.0,4.3,0.0,0.6
48,"Naturgut,Giaguaro",Bio-Passata,en:plant-based-foods-and-beverages,102.0,0.1,1.5,0.3,3.4,3.4,0.118110236220472,0.1
49,J.D. Gross,Edelschokolade aus original Arriba Ecuador Edelcacao 70% - Noir Dégustation 70% au croquant de caramel Equateur,en:sugary-snacks,2208.0,35.5,6.6,0.2,41.4,35.4,0.078740157480315,21.9
50,"Crownfield,Lidl",Special Flakes Red Berries,en:plant-based-foods-and-beverages,1603.0,1.0,12.0,0.6604,78.3,13.3,0.26,0.3
51,Milbona,Sandwich Scheiben mit Gouda,en:dairies,1373.0,27.0,18.5,3.5,3.5,3.5,1.37795275590551,17.0
52,Gutknecht,Hähnchen Nuggets Käse,en:meats,726.0,7.0,18.0,1.5,9.0,1.0,0.591,4.53
54,Lovilio,Gorgonzola DOP picante,en:dairies,1435.0,29.9,20.24,2.5,0.4,0.1,0.984251968503937,20.2
55,Mister choc,Bellona Haselnuss,en:sugary-snacks,2318.0,35.5,9.3,0.2,48.3,38.6,0.078740157480315,15.4
56,vitasia,Instant Nudeln Vegetarisch,en:plant-based-foods-and-beverages,1971.0,23.7,13.0,7.08,49.4,3.0,2.78740157480315,12.9
57,Landjunker,Puten-Minifilet,en:meats,465.0,2.0,23.0,0.1,0.0,0.0,0.0394,0.8
60,"NIXE,Lidl",Thunfischfilets in eigenem Saft und Aufguss,en:canned-foods,384.0,0.6,21.2,1.0,0.1,0.0,0.393700787401575,0.2
62,Kania,Tomato Ketchup,en:groceries,477.0,0.1,1.7,2.9464,23.8,23.4,1.16,0.1
63,"Fin Carré,//Property://,Lidl Stiftung & Co. KG,//Die Zugehörigkeit zu://,Schwarz Beteiligungs GmbH",Dark chocolate Ginger 57% cocoa,en:sugary-snacks,2229.0,31.2,4.4,0.06,54.6,48.1,0.0236220472440945,18.8
64,"Fin Carré,//Property://,Lidl Stiftung & Co. KG,//Die Zugehörigkeit zu://,Schwarz Beteiligungs GmbH",Dark chocolate Cranberry 57% cocoa,en:sugary-snacks,2239.0,32.0,4.5,0.03,53.1,46.1,0.0118110236220472,19.3
66,Kania,Kania Ananas Curry,en:spreads,1489.0,34.5,2.3,1.1,9.0,6.0,0.433070866141732,3.8
68,Milbona,Bio-Organic Soja Drink,en:beverages,180.0,1.9,3.6,0.16,2.7,2.7,0.062992125984252,0.3
69,Milbona,Milbona - 1L,en:beverages,184.0,1.1,0.7,0.1,7.6,4.4,0.0393700787401575,0.2
70,"J.D.Gross,Halloren Schokoladenfabrik AG",Pralinés Selection,en:pralines,2163.0,30.0,7.2,0.1,51.3,50.7,0.0393700787401575,13.0
71,Milbona,Protein+ Cranberry-Kokos,en:dairies,457.0,2.11,19.1,0.122,11.3,9.59,0.048,1.63
72,Milbona,Protein+ Aprikose-Chia,en:dairies,433.0,0.833,10.3,0.0985,11.8,10.4,0.0388,0.0758
73,Milbona,Protein+ Korinthen-Quinoa,en:dairies,388.0,0.413,10.5,0.0992,10.7,8.68,0.039,0.0826
74,Milbona,Protein+ Cashew-Berberitze,en:dairies,440.0,2.4,11.2,0.0992,8.68,5.37,0.039,0.496
75,My Best Veggie,Pizza Veggie „Die Würzige“,en:frozen-foods,794.0,4.7,9.6,1.1,25.7,5.2,0.433070866141732,2.3
76,My Best Veggie,Pizza Veggie „Die Herzhafte“,en:frozen-foods,848.0,5.7,9.2,1.0,27.1,4.3,0.393700787401575,2.6
77,Golden Sun,Traditioneller Basmati Reis,en:plant-based-foods-and-beverages,1485.0,0.6,7.4,0.01,78.0,0.3,0.00393700787401575,0.1
78,"Crownfield,LIDL",Muesli croustillant allégé en sucres,en:plant-based-foods-and-beverages,1824.0,14.5,10.6,0.55,59.8,10.9,0.216535433070866,5.4
81,Riggano,Pizza Edel-Salami,en:frozen-foods,1021.0,8.1,10.0,1.1,31.0,3.7,0.433070866141732,3.2
83,bio,Vollkornspaghetti,en:plant-based-foods-and-beverages,1443.0,2.0,14.0,0.01,63.0,3.0,0.00393700787401575,0.4
84,"Moser-Roth,Aldi GmbH & Co. KG,Aldi Einkauf GmbH & Co. oHG",Zartbitter-Schokolade Meersalz 52 % Kakao,en:sugary-snacks,2276.0,34.4,4.5,0.4,51.3,48.1,0.15748031496063,20.9
87,"milfina, M Classic",Kräuter Quark,en:groceries,567.0,10.0,7.5,0.850000000000001,3.6,3.4,0.334645669291339,4.9
89,"Choceur,Hosta",Kokosschokolade,en:sugary-snacks,2330.0,37.2,6.1,0.299999999999999,46.6,40.9,0.118110236220472,30.4
92,Grandessa,Heidelbeere Konfitüre Extra,en:plant-based-foods-and-beverages,960.0,0.5,0.5,0.01,54.0,53.0,0.00393700787401575,0.1
93,Genuss der Saison,Halloumi,en:dairies,1337.0,24.6,22.9,3.0,2.2,2.2,1.18110236220472,17.3
96,EDEKA,Bördespeck-Feinschmer-Gouda geräuchert,en:dairies,1482.0,29.0,23.0,1.8,0.1,0.1,0.708661417322835,20.0
98,Puda,Cranberries,en:plant-based-foods-and-beverages,1538.0,0.9,0.3,0.01,85.0,72.0,0.00393700787401575,0.5
99,Paradiso,Orange,en:fruit-juices,159.0,0.0,0.3,0.01,8.5,8.5,0.00393700787401575,0.0
100,Oster Phantasie,Schokoladen-Osterhasen,en:sugary-snacks,2317.0,38.4,6.4,0.01,40.4,40.2,0.00393700787401575,23.7
102,Naturgut,Bio-Korniger Frischkase Halbfettstufe,en:dairies,381.0,2.6,32.7,0.7,1.0,1.0,0.275590551181102,2.6
106,Alpenhain,Select Brie,en:dairies,1265.0,25.0,20.0,0.6,1.0,1.0,0.236220472440945,17.0
108,Trader Joe's,Süße kalifornische Mandeln,en:plant-based-foods-and-beverages,2561.0,55.0,21.0,0.02,5.1,3.9,0.0078740157480315,4.0
110,"Scholetta,Aldi Einkauf GmbH & Co. oHG",Zarbitter Schokolade mit gerösteten und gesalzenen Mandelstückchen,en:sugary-snacks,2359.0,39.4,7.7,1.05,41.1,37.0,0.413385826771654,19.5
111,"Freihofer Gourmet,Aldi Einkauf GmbH & Co. oHG",Edelbitterschokolade Papua Neuguinea 70% Kakao,en:sugary-snacks,2227.0,38.4,8.8,0.0254,31.1,26.9,0.01,24.1
113,Mein Veggie Tag,Veggie Schnitzel mit Paprika-Tomaten Füllung,en:meals,841.0,9.4,12.3,1.8,15.2,5.1,0.708661417322835,0.7
114,Milsani,Frische fettarme Milch,en:dairies,197.0,1.52,3.4,0.132,4.92,4.92,0.052,1.0
116,GutBio,Veggie-Aufschnitt,en:plant-based-foods-and-beverages,1040.0,13.0,27.0,2.0,3.7,2.8,0.78740157480315,1.7
118,Trader Joe's,Cashew-Kerne,en:plant-based-foods-and-beverages,2449.0,45.4,16.8,0.0508,26.8,7.5,0.02,8.7
119,"Ferrero,Nutella",Nutella,en:spreads,2273.0,31.6,6.0,0.09398,57.3,56.7,0.037,10.9
120,Salakis,Salakis,en:fresh-foods,1126.0,22.9,15.7,2.8,0.8,0.8,1.10236220472441,16.2
122,"Lindt, Lindt Excellence",Chocolat Noir 85% Cacao,en:sugary-snacks,2443.0,46.0,12.5,0.03,19.0,11.0,0.0118110236220472,28.0
123,"Lindt,Chocoladefabriken Lindt & Sprüngli AG,Lindt Excellence",Chocolate negro 70% cacao,en:sugary-snacks,2350.0,41.0,9.5,0.1,34.0,29.0,0.0393700787401575,24.0
124,Leerdammer,Leerdammer Schwarzer Pfeffer - Chili,en:dairies,1480.0,29.0,23.0,1.6,1.0,1.0,0.62992125984252,19.5
125,Leerdammer,Leerdammer Léger,en:dairies,1130.0,17.0,29.5,1.6,0.1,0.1,0.62992125984252,11.5
126,Bonduelle,Erbsen mit Möhren,en:plant-based-foods-and-beverages,200.0,0.6,2.5,0.48,6.1,3.8,0.188976377952756,0.0
127,Bonduelle,Goldmais,en:plant-based-foods-and-beverages,334.0,1.9,2.9,1.016,10.8,5.2,0.4,0.5
128,Bonduelle,Goldmais mit Chili,en:plant-based-foods-and-beverages,322.0,1.0,2.23,0.269,13.1,7.23,0.106,0.0769
129,Haribo,Les Schtroumpfs,en:sugary-snacks,1389.0,0.5,6.6,0.029972,75.0,43.0,0.0118,0.1
130,Président,Carré Gourmet,en:dairies,1342.0,28.0,18.0,1.3,0.1,0.1,0.511811023622047,20.0
132,Père Eugène,Camembert,en:dairies,1126.0,21.0,22.0,1.5,0.5,0.1,0.590551181102362,15.0
134,Président,Le Crémiot,en:dairies,1419.0,31.0,16.0,1.3,0.1,0.1,0.511811023622047,22.0
135,Ponthier,Marrons Cuits,fr:marrons,751.0,1.0,3.5,0.1,36.0,7.1,0.0393700787401575,0.2
136,Chavroux,"Chavroux (13,5 % MG)",en:fresh-foods,715.0,13.5,8.7,1.0,4.0,2.6,0.393700787401575,9.0
137,"Les anis de flavigny,Anis de Flavigny",Anis de Flavigny,en:sugary-snacks,1665.0,0.1,0.2,0.0299999999999999,99.2,97.1,0.0118110236220472,0.1
138,"Nesquik,Nestle",Nesquik Knusper-Frühstück,en:plant-based-foods-and-beverages,1632.0,4.0,8.2,0.47,76.1,25.1,0.18503937007874,1.7
139,Häagen-Dasz,cookies & cream,en:desserts,1095.0,17.1,4.4,0.21,22.7,15.2,0.0826771653543307,10.8
140,Häagen-Dazs,Creations Strawberry Cheesecake,en:desserts,1098.0,14.7,3.9,0.32,28.5,25.0,0.125984251968504,9.2
141,Aoste,Aoste Stickado,en:meats,2162.0,44.2,29.0,5.0,2.0,1.0,1.96850393700787,17.7
143,Salakis,Kräuter,en:dairies,1116.0,22.9,15.0,2.75,0.8,0.8,1.08267716535433,16.3
144,"Nestle,KitKat",KitKat Chunky,en:sugary-snacks,2206.0,28.4,6.6,1.778,61.0,51.1,0.7,16.7
145,Sweet+Plus,Чудо,en:sugary-snacks,2370.0,34.9,8.8,0.18,53.0,37.0,0.0708661417322834,11.0
147,Dr. Willi Knoll,Bio Kartoffel Püree,en:meals,307.0,1.6,2.6,0.6,11.3,2.4,0.236220472440945,0.8
149,Schneekoppe,Leinsamen geschrotet,en:plant-based-foods-and-beverages,2135.0,42.0,18.0,0.1,3.0,1.4,0.0393700787401575,31.0
151,"Bertolli,Unilever",Pesto Rosso,en:groceries,1603.0,36.0,6.6,2.5,8.4,7.1,0.984251968503937,6.6
154,Bertolli,Basilico,en:groceries,262.0,3.0,1.0,0.0,5.0,4.0,0.0,0.0
155,"Pommersche,Rügenwalder Mühle,Rügenwalder",100% Geflügel,en:meats,1130.0,21.0,14.0,1.5,4.0,1.2,0.590551181102362,6.7
156,Rügenwalder Mühle,Vegetarischer Schinken-Spicker mit bunter Paprika,en:plant-based-foods-and-beverages,688.0,13.0,7.1,2.3,5.1,1.6,0.905511811023622,1.0
158,"Grafschafter,Grafschafter Krautfabrik",Original Grafschafter Goldsaft,en:spreads,1267.0,0.5,2.3,0.03,69.0,66.0,0.0118110236220472,0.5
159,Ritter Sport,Ritter Sport Ganze Mandel,en:sugary-snacks,2324.0,36.0,9.4,0.15,46.0,45.0,0.0590551181102362,15.0
160,Ritter Sport,Dunkle Mandel Quinoa,en:sugary-snacks,2313.0,39.0,10.0,0.01,37.0,34.0,0.00393700787401575,15.0
161,"Ritter Sport,Ritter Sport Bunte Vielfalt",Ritter Sport Knusper Tortilla Chips,en:sugary-snacks,2214.0,29.0,6.3,0.36,58.0,49.0,0.141732283464567,17.0
163,Lätta,Lätta Original,en:plant-based-foods-and-beverages,1484.0,39.0,0.5,0.53,1.9,0.5,0.208661417322835,14.0
165,Dr. Oetker,Mousse au Chocolat,en:sugary-snacks,635.0,4.8,5.2,0.33,21.0,17.0,0.12992125984252,3.4
167,Lindt,Milchschokolade,en:sugary-snacks,2275.0,32.0,7.3,0.2,56.0,55.0,0.078740157480315,19.0
168,Lindt,Alpenvollmilch-Schokolade,en:sugary-snacks,2294.0,33.0,7.2,0.2,55.0,55.0,0.078740157480315,20.0
170,Kölln Balance,Haferkleie Fleks,en:plant-based-foods-and-beverages,1611.0,6.6,14.8,0.53,59.3,11.1,0.208661417322835,1.4
171,Köln Cerealien,Vollkorn Haferfleks,en:plant-based-foods-and-beverages,1656.0,5.4,9.7,1.143,72.4,17.0,0.45,1.1
172,Mounthagen,Land Kaffee ohne Koffein,de:malzkaffee,1423.0,0.2,3.8,0.2,72.0,20.0,0.078740157480315,0.1
174,Schapfen Mühle,Porridge Hafermahlzeit Schoko,de:porridge,1730.0,9.0,9.2,0.8,70.5,24.0,0.31496062992126,4.0
175,Leicht & Cross,Leicht & Cross Vital,en:plant-based-foods-and-beverages,1544.0,2.6,11.0,1.5,69.0,2.6,0.590551181102362,0.6
176,Leicht & Cross,Leicht & Cross Roggen,en:plant-based-foods-and-beverages,1553.0,3.2,10.0,1.6,71.0,4.9,0.62992125984252,0.7
177,Leicht & Cross,Leicht & Cross Vollkorn,en:plant-based-foods-and-beverages,1570.0,2.8,11.0,1.3,71.0,5.4,0.511811023622047,0.5
178,Leicht & Cross,Milch,de:knusperbrot,1621.0,4.6,13.0,1.6,70.0,5.2,0.62992125984252,1.3
179,Haribo,Haribo Saft Goldbären,en:sugary-snacks,1437.0,0.5,5.7,0.03,77.0,46.0,0.0118110236220472,0.1
181,"Dr. Oetker,Pizzaburger",Pizzaburger Diavolo,en:frozen-foods,1090.0,10.4,10.4,1.04,30.1,3.94,0.411,3.88
183,Kerrygold,Kerrygold extra ungesalzen,en:spreads,2422.0,65.0,0.5,0.0,0.5,0.5,0.0,35.0
185,Wiltmann,Bio Rein Rind Salami,en:meats,1122.0,20.0,21.0,3.7,1.0,1.0,1.45669291338583,9.5
186,Meßmer,Holunder Kirsche,en:beverages,10.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0
189,Mövenpick,Sunset Caramel - Caffè Freddo,en:beverages,375.0,3.6,3.2,0.1,11.1,11.1,0.0393700787401575,2.3
191,Uncle Ben's,Cremiges Curry,en:groceries,504.0,6.92,1.43,0.812,12.1,7.07,0.32,4.81
194,Ehrmann,Almighurt Erdbeere,en:dairies,401.0,2.8,3.0,0.1,14.5,13.5,0.0393700787401575,1.8
195,Ehrmann,Grand Dessert Schoko,en:desserts,518.0,4.9,2.8,0.15,17.0,14.0,0.0590551181102362,3.2
201,Elinas,Joghurt nach griechischer Art,en:dairies,472.0,9.4,3.3,0.1,4.0,4.0,0.0393700787401575,5.8
202,Kellogg's,Crunchy Nut,en:plant-based-foods-and-beverages,1701.0,5.0,6.0,0.8,82.0,35.0,0.31496062992126,0.9
204,Rabenhorst plus,Vegan Extra,en:dietary-supplements,211.0,0.1,0.1,0.025,12.0,11.7,0.00984251968503937,0.05
205,Soja Fit,Art Leberkäse,en:plant-based-foods-and-beverages,1194.0,25.6,10.2,1.8,4.0,0.7,0.708661417322835,3.3
206,Berief,Bio Hafer Natur,en:beverages,166.0,1.4,0.6,0.13,6.0,5.2,0.0511811023622047,0.2
207,Barney's Best,Crunchy Peanut Butter,en:plant-based-foods-and-beverages,2615.0,51.5,25.9,0.9906,13.0,10.8,0.39,11.0
208,Barney's Best,Creamy Peanut Putter,en:plant-based-foods-and-beverages,2615.0,51.2,26.2,0.8382,13.7,10.1,0.33,10.3
209,Bio-Zentrale,Süßkartoffelchips mit Rosmarin,en:salty-snacks,2178.0,37.0,3.7,1.5,40.0,24.0,0.590551181102362,3.2
210,Biovegan,Hefe,en:food-additives,1338.0,5.6,41.0,0.2,11.0,0.2,0.078740157480315,1.3
211,Biovegan,Gelierzucker 2:1,en:sweeteners,1643.0,0.1,0.1,0.1,95.9,95.9,0.0393700787401575,0.1
212,Biovegan,Tomaten-Creme-Suppe,en:dried-products,1266.0,1.6,6.8,7.1,62.3,33.0,2.79527559055118,0.3
216,Rapunzel,Erdnussmus fein,en:plant-based-foods-and-beverages,2619.0,49.0,30.0,0.0,9.0,5.0,0.0,7.0
217,Rosengarten,Pflaumen in Zartbitterschokolade,en:sugary-snacks,1500.0,13.6,4.3,0.02,49.7,43.1,0.0078740157480315,8.3
219,"Rapunzel,Klare Suppe",Rapunzel Klare Brühe,de:bruhe,14.0,0.1,0.1,0.9,0.6,0.2,0.354,0.0
220,Rapunzel,bionella,en:spreads,2461.0,43.0,6.6,0.02,43.0,40.0,0.0078740157480315,11.0
221,Bergader,Bergader Almkäse Nussig Leicht,en:dairies,1117.0,16.3,29.9,1.5,0.3,0.1,0.590551181102362,11.2
222,Bergader,Almkäse,en:dairies,1862.0,44.5,12.4,1.4,0.3,0.1,0.551181102362205,30.7
223,Bergader,Bergader Almkäse Chili,en:dairies,1466.0,28.0,25.0,1.3,0.3,0.1,0.511811023622047,19.3
225,TOP MARE,TOP MARE Forellen-Filets,en:seafood,605.0,5.6,23.0,2.21,0.5,0.5,0.87007874015748,1.3
228,Multipower,50% Protein Bar Coconut,en:dietary-supplements,1510.0,9.8,50.0,0.55626,25.0,2.2,0.219,6.5
229,Develey,Hamburger sauce,en:groceries,1394.0,31.6,1.5,1.8,10.5,8.8,0.708661417322835,2.3
230,Lambertz,Schokoladen Lebkuchen,en:sugary-snacks,1645.0,10.8,6.5,0.38,64.8,41.3,0.149606299212598,6.5
231,Maryland,Studentenfutter mit gerösteten Erdnusskernen,de:studentenfutter,1983.0,27.0,16.0,0.03,38.0,34.0,0.0118110236220472,2.8
233,Mövenpick,Mövenpick Bourbon Vanille,en:desserts,729.0,4.0,1.6,0.04,32.0,29.0,0.015748031496063,3.3
234,Seeberger,Noisettes,en:plant-based-foods-and-beverages,2751.0,62.0,12.0,0.01,11.0,4.6,0.00393700787401575,4.1
